English,Igala
foolishness,ílálà
foot,ẹ́rẹ́ẹ̀
foot-path,ọ̀kpa
for,tódú
force,àkpúlú
forced,kpògìdè
forceful,égbílẹ́
forcefully,bẹ̀ẹ́
forcing,nà
foreigner,òlọ́ọ̀kó
Foreign,ẹnèmúnẹ́
forest,óko
Forest,ẹ́gbélẹ́
foregoing,ùgbọ́gbá
forever,gbégbéílẹ̀
forget,gbényọ́ọ̀
forgotten,gbẹ́nyọ́
formal,étító
form,nẹ̀
formally,ádúbálé
formation,ùbóbíì
formative,ágọ́fó
formats,ìchí
formulation,ódó
former,gbẹ́gbẹ́dẹ́
Forms,íchí
form,ọ̀gwù
Form,ìtògbà
formula,ẹ́ñwà
forth,éló
forthcoming,ìgbék’í-ché
fort,ẹ́rẹ́
fortune,ánána
Fort,ẹ́fú
forward,ọ́gbá
fostered,jẹ
Foster,k'ényáà
fought,já
foul,kpànyàà
found,lí
foundation,ẹ́rẹ́-únyí
four,ẹ̀lẹ̀
fourteen,ẹ́g̀wẹ̀lẹ̀
fourth,ẹ́kẹ́lẹ̀
fracas,újà-ìyà
fracture,gwúché́
fragile,tìkí-tìkí
fragment,ẹ́gẹ́
fragments,ámẹ́gẹ́
frame,úgbógbó
framed,ńúgbẹ́
frankly,gágàdā
fraud,ùjí
fraudulent,gbẹ́jú
freed,jàdá
freedom,òmìnọ́lamí
free,fòófòó
freely,híáálá
freeing,gbà
freeze,t’ẹ́bùtù
freezing,kpíjèlè
French,Ẹ̀fúláǹsì
frequently,kpẹ́kpẹ́lẹ
Friday,Ùfọ́nù
friend,ónúkwú
friends,ámonúkwu
friendly,jálí
friendship,ónúkwú
Friendship,Ọ̀lálī
friend,ónúkwú
Friends,àmọ́núkwú
from,kwóò
front,ójúwó
frontiers,àtẹ́
frustrated,j’ẹ̀yá
fuel,ẹ́kpó
fulfill,gbẹ́
fulfillment,ẹ̀dọ̀
Full,dúú
full,kọ́
fun,íyá
function,édúù
Function,édú
Fund,ọ́kọ́
fund,òbé
funded,d’ọ́kọ́
fundamental,ójó
funds,òbé
funeral,ẹ̀gbádú
furnished,dāyé
further,gẹ́
future,ọ́gbá
g.,ígamà
gain,j’ìlè
gaining,jẹ́
galloping,dẹ́kwọ̀kwọ̀
gambling,ícháchá
game,íyáà
games,ámaiyáà
gang,àmọ́jí
gap,èbì
gas,àfù
gate,àkwù
gather,ñọ́
gathered,jọ
gathering,ùjẹjú
gaze,lí-ẹ́jú
gazed,nẹ́
gazing,lí-ẹ́jú
gear,ọ̀tàjía
Gender,ókó/ólé
general,dúú
generally,kpọ́kpẹ́
generate,bì
generated,bì
generation,ájú
generations,àmaájú
generally,óláló
generous,àchẹ́le
generously,gbàgbà
gentle,gbẹ́gbẹ́
gentleman,ẹ́nẹ́
gentlemen,àbókẹ̀lẹ̀
gently,ọ̀pẹ́pẹ́
geography,ọ̀dú-anẹ̀
german,Jámánì
germany,Jámánì
gesture,ìchẹ́
get,lá
Get,Gbà
ghost,egwú
giant,ẹ̀kwùtẹ́
gigantic,élile
girl,ọ́m’onobúlẹ̀
girls,ábóígbẹ̀lẹ́
give,du
given,d’ó
giver,ẹ́nẹ́
gives,ádú
glad,yọ̀
glance,lí
glass,àgó
glasses,égìgò-ejú
glimpse,lí
global,ájọ
glory,òdú
glorious,gbáàà
glorious,ójima
glossy,hìọ̀mìì
glow,jó
go,lé
goal,ídí
goals,àmáídọ́
god,ọ́jọ́
God,Ọ́jọ́
God,Ọ́jọ́
goddess,ónú ọ́mi
goes,lọ
going,ténè
gold,àgòlò
Golden,ẹ́kpikp’ọ́lù ọ̀bà
gone,tàkpá
good,ẹ̀nyọ̀
goods,ẹ́ñwu
govern,jẹ́ ọ́fẹ́
government,ígọ́métì
governments,àmígọ́métì
governor,ígọ́bìná
grace,ùfẹ́dọ̀
Grace,Ùfẹ́dọ̀
gradually,pẹ́ẹ́pẹ́ẹ́
graduated,dáchí
grandfather,átá-átá
grandmother,íy’átá
grand,élile-élile
Grand,ójóójì
granted,jẹ́
graph,àwọ̀nyí
grasp,gwọ́wọ́nyú
grass,ẹ́gbé
grateful,ùgbédẹ
grave,ojínójíì
great,gbẹ́
greater,túlè
greatest,kpákáá
green,ọ́dùfà
greeted,gbẹ́
greeting,náagò
grief,àbùrú
grievance,èmímì
grimace,kp’ẹ́jú
grip,gàlá
groin,ìbẹ́
Gross,dúú
Group,ùchẹ̀
grouped,dó
grouping,jìjó
groups,àmáchẹ
groups,àmáùchè
groups,àmọ́jẹ́jú
growth,ẹ̀bóbíí
guarantees,ìyámíì
guaranteeing,ígamíì
guard,àdídẹ́
guardian,ẹ́nẹ́ídẹ̀
guess,bọ
guess,ùbọ́dù
guessed,lí
guessing,ádúbō
guide,l’ọ̀ọ́nà
guiding,kọ́-íbe
guilty,n’ébì
Guinea,Gìníì
gun,ólí égbéẹ̀
guns,ámẹ́gbéẹ̀
habits,àmálí
habit,áli
habitual,tètè
habitually,álẹ́gbálẹ́
Had,ché
Had,kó
Had,má
hail,kà
hailstone,òkwúta ọ́mọjọ́chà
hair,èdùdú
hairless,kpákpálá
hairs,àmédùdú
hairy,jùù
half,ójì-káà
halfway,che-kàdọ́nà
hall,ẹ́jẹ̀fù
hammer,òkógò
hammered,dányú
hammering,dányú
hand,ọ́wọ́
handling,jó
hands,ámọ́wọ́
Hand,Ọ́wọ́
hands off,kọ́-ọ́wọ́
handsome,gbélẹ́gbélẹ́
hang,dálọ̀
happens,che
happiness,ùyọ̀
happy,n’ùyọ̀
hard,gbítì
harder,kpálá
hardly,nyá
Has,mú
Has,kpó
has,d’ọ́
harshly,gbágbá
harvest,já
harvested,já
harvesting,já
hat,ọ̀tàjía
hate,ráílọ́
hatred,àìlọ́
having,ché
hazard,ọ̀kpẹ̀lẹ̀
hazardous,gbẹ́jú
hazards,ìgbégbèjú
he,í
Head,Ójí
Head,ògijo
Head,ẹ́gà
head,ójí
headache,ọ́jìgbúù
heads,àmaójí
health,ọ́là
healthy,làáfíà
hear,gbọ́
heard,gbọ́
hearing,ẹ́gbọ́
heart,ẹ́dọ̀
heartily,pàà
heat,kpá
heating,hì
heavens,àfù
heaven,ójáálẹ̀
heavily,gbágádáá
heavy,dẹ́kẹ̀
height,ọ́gbá
hell,ikólìkọ́
Hello,náàgò
Help,ch’ábùnẹ́
Hence,tódúlẹ́
her,ó
her,ú
herb,ógwù
herbs,àmógwù
here,ẹ́mí
hero,ógijo
heroic,ọ̀gẹ̀nẹ́chá
heroes,àb’ágójì
hers,ọ́
herself,ọ́la ñwú
Himself,ónúgò
hesitated,dẹ́yúdọ́
hi,Áchá
hide,májáà
hidden,májáà
hide,áñọ
hiding,m̀á 'jáà
hierarchical,ákpẹ́nẹ́ -ákpénē
high,túlẹ̀
higher,túlẹ̀
highest,túlẹ̀
highly,nyọ́nyọ̀
highlighted,chẹ́kà
highlighting,chábẹ́
highway,ikpadàla
hill,úwó
hills,ámúwọ́
him,ó
himself,ọ́la ñwú
hint,ẹ́kẹ̀kẹ́
hire,du-tínẹ̀
hires,átúdú
hiring,nẹ́
his,ọ́
historical,ígbélẹ́
histories,àhíká
history,ítà
History,ọ̀lá-ígbélẹ́
Hitler,Étìlà
hit,fù
hits,afú
HIV,ọ̀gá-ọ́wáílo
hitherto,àkwúbì
hold,gwọ́wọ́nyú
holding,nẹ́
hole,awó
holes,àmáwọ́
holy,iná
home,únyí
homes,ámonyí
homestead,ókólọ̀
honey,íñọ́
honor,òjíma
honorable,gbélẹ́gbélẹ́
honorary,élẹ́
honored,d’òjíma
hook,tá
hooking,k’ẹ́rẹ́
hope,íkẹ̀nẹ́ẹ̀
hoping,kẹ̀dọ̀nó
horror,ùbáìlò
horse,ànyà
hospital,únyí-ógwù
hostage,àkpá-àmú
hostile,j’ọ̀ọ́kọ́
hostility,àílọ́
hotel,ùgbà-ótùrìísítì
hotels,àmúgbò-ótùrìísítì
hour,ágọ́gọ́
hours,àmagógọ́
House,ọ́dọ́
house,únyí
House,àbó
household,ẹ̀gbánẹ́
Housing,àgbárú
how,ábú
however,m̀údáà
huge,ọ́tọ́ọ́lọ́gbọ̀lọ̀
hugely,gọlìì
human,ẹ́nẹ́
humans,àmẹ́nẹ́
Human,Ẹ́nẹ́
humanity,ónẹ̀
humane,m̀ọ̀là
Humanity,ìlẹ̀
humble,hì
hunch,bọ
hundred,ógwúmẹ́lú
hunger,ébí
hungry,ǹégō
hunted,dọ́dẹ̀
hunter,ájọ́dẹ̀
hunters,àmájọ́dẹ̀
hunting,ódẹ̀
hunting,nẹ̀dọ̀dẹ́
hurl,rọ́
hurled,k'àfù
hurried,kpálápálá
hurriedly,kpákpálá
hurry,ùnájú
hurt,gw’ọ́gbé
husband,ọ́kọ́
hut,únyí
huts,ámonyí
hybrid,ójóojì
hypothesis,íbē
hypotheses,ámíbē
hypothetical,káálọ́
I,ú
I,òmi
I,ù
ice,yégéyégé
idea,íbe
ideally,dábú ọ́làáfíáà
ideas,àmíbē
identical,kámá
identify,m̀ẹ́jú
identified,m̀ẹ́jú
identity,ójóojì
ideological,ẹ́gbà
i.e.,ádábu
if,íchẹñwú
ignore,t’ẹ́jú tínyọ́ọ̀
ignorance,ùgbọ̀dúù
ignorant,ọ̀gbólí
ill,lọ̀
illegal,ọ̀fẹ́
illness,ólọ́
illness,ọ̀gá
illnesses,àmọ́gá
illustration,áwọ̀nyí
image,àwọ̀nyí
images,àmàwọ̀nyí
imaginary,ìgbàmìnì
immediately,ẹ́rẹ̀rẹ̀
immediately,kẹ́
immense,ọ́tọ́tọ́lọ́gbọ̀lọ̀
immigrant,ílòdó
immigration,ùlẹ́lẹ̀
immune,Ègbunu
impaired,jì
imperial,ẹ́yìbó
implement,ẹ́ñwú-ídọnà
imply,bàkú
implying,íjẹ́m̀údá
import,ẹ̀gbà
importance,ọ̀gbààlà
important,ójó
impose,tā
imposed,tá
imposing,gbẹ́
impression,ídí-íbe
impressions,àmídí-íbe
improve,bù
improved,múdáà
in,éfù
inadequate,nyá
incapable,gbọ̀
inception,ìdálé
incite,kọ́nyú
inclined,kẹ̀dọ̀nó
incomplete,bọ̀
increase,dàgbá
increasing,náwò
increasingly,ńááwó
indeed,gbóó
Indeed,Íígbá
independence,ọ̀mìínọ́làmi
indicate,ḿúdā
indicating,bàkú
indication,ọ̀kọ́
indifferent,híámá
indigenous,Ígáláà
individual,ẹ́nẹ́-káà
individuals,ẹ́nẹ́nẹ̣
individually,tíìtiti
induced,jó
industries,àmaúkọ́lọ́
industry,òbé
ineffective,ètúbẹ̀ẹ̀
inevitable,ádàákánā
infant,ọ́má
infants,àmọ́má
infection,ọ̀gá
infectious,lógwọ́
inferior,gẹ́lẹ́
infinite,ọ̀gbàgbálẹ̀
infinitely,gbégbélẹ̀
influencing,chẹ́
inform,kà
information,íbē
informed,m̀á
inheritance,ágwú
inherited,d’ọyà
initial,ẹ́yà
initiated,bìtẹ́
initiative,úgbọ
injection,òlíẹ́
injured,chágbẹ́
injury,ágbee
ink,ìyẹ̀lúwẹ́ẹ̀
inner,éfú
innocent,ọ̀kpákáà
innovation,ọ́lá
innovations,àmọ́lá
inscription,ínaà
inscriptions,àmáínaà
insect,áìlọ̀
inside,éfú
insider,ẹ́nẹ́
insist,lìgbàlìgbà
insistence,ọ̀lìgbálìgbà
insisting,lìgbàlìgbà
install,gbẹ̀
instance,ọ̀nálẹ́
instances,àmọ́nálẹ́
instantly,érẹ́rẹ̀
instead,ọ́gbááká
instituted,tẹ̀-ọ́lá
institution,úgbọ́dànyí
institutions,àmúgbọ́dànyí
instruct,dú-ọ́dàá
instruction,ẹ́gbà
instructor,ìtíchà
instruments,ẹ́ñwú-ídọnà
instruments,ẹ́ñwá ídónà
insurance,ùfíà
intact,jó
integrate,ch’ẹ̀kákó
integrated,ch’ẹ̀kákó
intellectual,ọ́gbọ́n
intellectuals,àb’úmà
intelligence,ọ́gbọ́n
intelligent,ọ́biẹ́
intend,íníyà
intends,kámá
intense,kpá
intensely,gbáà
intensity,àgbúlú
intention,áli
interact,lèrú
interaction,ùgbégbọ
interest,íjíẹ̀
interference,ùjògbò
interior,ẹ́jẹ̀fù
internal,éfù
interpretation,ẹ̀tọ́ọ́fẹ́
interpret,ḿúdẹ́chí
intervention,ìgbà
intimacy,ùfẹ̀dọ̀
into,nyú
intransigence,àkàmágbọ
introduce,kà
introducing,nẹ
invasion,ùjògbò
invent,chọ́
invention,ẹ́ñwu-ígbélé
inventor,àchọ́náà
invest,jẹ́ àjíyá
investigate,gw’ólí
Investment,ùgbàálù
investment,ìnyàmà
investments,ámaìnyàmà
invite,ké
invited,kà
invitation,ẹ̀jẹ́
invincible,dégbòó
involve,kpàí
involves,áfẹ̀fá
iron,bíù
ironic,àfọ́
Iron,Ẹbíjẹ̀
irregular,chòchòchóò
irrevocably,píọ́
Islam,ọ̀wọ̀
Islamic,Àkpá
island,ọ́fí-àji
Israeli,Ísírẹ́lì
issues,àmọ́là
issue,ọ̀lá
issues,ọ̀gbọ̀gbà
Issue,Ọ̀lá
it,í
items,ẹ́ñwu
items,ámẹ́ñwú
Item,ẹ́ñwú
its,ọ́
itself,ónúgò
Jan.,Jánuárì
January,Jánuárì
Japan,Jàpáàn
jarring,yàá
jaw,ìgbàà
Jesus,Jésù
Job,úkọ́lọ́
job,úkọ́lọ́
johns,àtábáà-ejú
joint,ójìkó
jointly,kòchè
joints,àmájóìkó
journal,ọ̀tákáda
journey,ùlẹ̀
journeys,àmúlẹ̀
joy,ùnyọ̀
joyful,gbẹ́já
judge,ákájọ́
judged,lí
judgement,ìníyà
judgement,ùmà
July,Jùláì
June,Júùnù
junior,kékélé
jurisdiction,ojáánẹ̀
just,fáàfáí
just,gbàgbà
justice,ọ̀fọ́
justification,ètẹ̀
justified,dábú
justify,tẹ̀ọ́lá
kept,nẹ̀
key,ọ́mà-ígèdè
kill,kpa
killed,kpá
killer,ákpọnẹ́
kills,ákpá
kindness,ùfẹ̀dọ̀
king,ónú
kingdom,ójáánẹ̀
kitchen,óbúkà
knife,ọ̀bẹ
knives,àmọ́bẹ̀
knock,d’úkókó
knocked,kwọ́
knot,t’ígbíì
knotted,jí
know,m̀á
knowing,ńínáà
knowingly,gẹ́gẹ́dẹ̀
knowledge,ùmà
known,kà
Korean,Kòríánì
kudos,ínyé
labor,íjìníkpá
labour,íkpálà
laboured,ẹ̀gíbílẹ́
labourers,ábọ́-ọ́gwù
lack,tá
lacks,má
ladder,àgwùbé
ladies,ábóígbẹ̀lẹ́
lady,ọ́mágbẹ̀lẹ́
Lake,Ájì
lake,ájí
lakes,àmọ́jí
land,anẹ́ẹ̀
landscape,òdú-anẹ̀
language,íchí
languages,àmọ́chí
large,gbágádá
larger,gbáanẹ̀
las,àkwúgbá
last,títálá
Last,échí
lately,ùbiánẹ́-í
laugh,nyányí
laughing,ányí
laughter,ànyí
law,ódáà
lawful,dábú ódáà
laws,àmọ́dáà
lay,du
lead,lótú
leader,àgbojí
leadership,ojìágbòjí
leading,tètè
leaned,kọ́
lean,gányáá
learning,kọ́chẹ́
least,mínímómù
leather,ánọ́
leave,lè
leaves,ẹ́gbẹ́
led,dú
legitimacy,jálí
legitimate,ọ̀gẹ́nẹ́chá
lending,áménẹ́
length,ójá
lessen,dábùù
lesson,ìlọ̀
let,gbùñà
letters,àmalétà
level,ọ́gbá
levy,ọ́kọ́-ùtẹ́
liberal,ètẹ̀ẹ̀
liberation,àjàdù
library,únyí-íbúkù
lied,rẹ́ẹ̀mí
lieutenant,Ọ́gá-ọ́jọ́má
life,ilé
lifetime,ọ̀lọ̀gbó
lifelong,ílẹ̀
Life,ìlẹ̀
lifestyle,álí
life-time,ójìológbọ́
lift,dá
lifted,nẹ́
lifting,gbélí
light,fúfú
light,ẹ̀mù
lighted,ní ẹ́mù
lights,àmẹ̀mù
Light,ọ́màmànyà
lightly,kẹ́lẹ́kẹ́
lighting,ọ̀dọ̀
likelihood,í-chẹ́
likely,dẹ́gbà
likewise,ádúbálé
lime,álèmúínále
limits,ágbàà
limits,ìkàmù
line,íkwúù
Line,ọ́gbà
lineage,ùgbẹ̀
linear,ádà
lined,tọ́gbà
lines,àmágbá
link,ílìí
linking,tányí
links,àlíí
lion,ìdù
lips,áló
liquid,ómi
list,ọ́dọ́dú
lists,àmọ́dódú
literally,àákáá
literary,ẹ́gbà
literary,ọ́gbọ́n
little,rééé
live,dẹ́jú
liver,ọ̀dọ̀
location,òdú
lock,jigbẹ́
locked,kpá
lock,ígẹ̀dẹ́
log,iji-úná
logically,àkànúgbá
London,Lọ̀ndọ̀n
longer,já
long-standing,ígbélé
Look,D’ẹ́jú
Look,Gbàá
look,lì
loop,égbìgbì
loose,álọ̀
loosely,júgwù
loosen,lọ́
Lord,Ọjọ́
loss,òfù
lot,ùgbé
love,ùfẹ̀dọ̀
loved,nẹ́
lover,ányẹ́máàgbọ̀
lower,gbányáà
loyalty,égọ́
loyal,ọ̀gbóóló
lungs,ákúkọ̀
madam,Ọ́jò
mad,ahímú
made,ché
magic,ògwúdéyí
magnificent,àchàgàlá
mainly,álẹ́gbálẹ́
mainly,kpọ́kpẹ́
maintain,jì
maintaining,jì
make,ché
makes,aché
Make,ché
male,ọ́kọ́
man,ónẹ̀
man,ónẹ́kẹ̀lẹ̀
mandatory,dúkpẹ
manifested,jọ
manifold,ojóojí
mankind,ẹ́nẹ́
manners,áli
Manners,àkàánùgbá
map,àwọ̀nyí
March,Máchì
margin,ẹ́gbẹ́
mark,àgbàá
Market,ájà
marketable,dádó
marks,ínáà
marriage,ọ́yáà
marriages,àmọ́yáà
married,n'ókọ́
mass,ẹ̀gbọ̀lọ̀
mastery,ùmẹ́jú
mate,ẹ́gọ́
material,ẹ́ñwú
matter,ọ̀lá
matter-of-factly,gẹ́gẹ́dẹ̀
maybe,kàní
me,mí
mean,bàkú
meaning,ọ̀fé́
meaningful,nẹ̀fú
meaningless,ọ̀fọ̀fó
means,àlù
means,ọ́lá
meant,k’íná
measure,gbálúká
Measurement,álú
mechanical,ẹ́bíjẹ̀
mechanics,áb’íjìnẹ́
mediation,ìbà
medical,ọ́gwù
medication,àlúlà
medications,àmalúlà
medicine,ógwù
meeting,ùjẹ́jú
meetings,àmáùjẹ́jú
members,àbó
membranes,ámì-bílọ́
memory,íbē
memory,èmí
men,àbókẹ̀lẹ̀
mental,ílẹ̀
mentions,àhíkáà
mention,dọ́
mentioned,àhíká
mere,ọ̀fọ̀fó
merely,ké
merit,álí
merits,àlìfía
Mexican,Mẹ́síkóò
Microsoft,M̀áíkrọ́sọ́fùtù
mid,àlúmẹ́jì
middle,àlúmẹ́jì
midnight,álùmẹ́jì òdú
midst,ọ̀gẹ́gẹ́dẹ̀
might,kpákáá
mighty,àgbélẹ́
mile,ìmílẹ̀
military,ẹ́já
Military,Íchójáà
milk,ómi ẹ́nyá
million,mílíọ́nù
mind,éfúù
mine,èémi
minimum,kẹ́kẹ́lẹ́
minister,Ígọ́bìnáà
Ministers,Àmọ́màjàtá
minor,kẹ́kẹ́
minutes,ámáàwáà
mix,kpẹ́gwà
mixed,chẹ̀gíná
mixture,égbúdù
mobile,lùlẹ̀
model,ódú
modeling,àlá
models,àmálú
Modern,étító
modern,bílẹ́wá
Monday,Ẹ̀múndẹ́
money,ọ́kọ́
money,ébíjè
month,ọ́chúù
months,àmọ́chúù
moral,bíẹ́nẹ
morality,ilẹ́
morally,àkànúgbá
Moses,Mósì
Most,kpọ́kpẹ́
mostly,jù
Mother,Íye
mother,Íye
mothers,àmọ́yẹ́
motivation,ídí
motive,étẹ̀
motives,ámètẹ̀
motor,ímótò
mountain,úwó
mountains,àmáwọ́
Mount,Ójúwó
move,gbẹ́
moved,kọ́
movement,úgbó
movie,sínímà
movies,àmọ́-sìnímà
Mrs,ọ́jò
Ms.,ọ́jò
much,kpọ́
mud,ẹpìọ̀
muddy,hìjọ̀lọ̀
multi,gbágádá
multiple,àákpálá
multiply,dàgbá
multitude,álọ́ká
murder,kpa
murderer,á́kpọ́nẹ́
murky,kìíníí
muscular,ágójì
music,ẹ́lí
Muslim,Àkpà
must,che
must,kù
mutually,ẹ̀jọ̀
myself,ónúgò
mystery,ẹ́ñwu àfítéjú
mysteries,àmọ́fítẹ̀jú
mysterious,l̀úbàìlò̀
mysteriously,jìfì
mystery,ẹ́ñwu-áfìtẹ́jú
nail,álé
name,ódú
narrow,pemee
nation,ọ̀lọ́pù
national,ájọ̀
natural,ojóojì
nature,ọ̀fọ́
nearby,èmí-émí
nearly,gbégbé
necessary,dúkpẹ
need,ténè
needed,dúkpẹ
needs,àmaténè
negative,èhéee
neighbor,ékéjì
neighborhood,àdógbéè
neighbors,àbómúnẹ̄ẹ̀
neither,gbē
nerve,ẹ̀dọ̀
nervous,d’éjìjì
net,ìgà
never,gbē
new,étító
newly,tító
news,ọ̀là
next,úbí
nice,nyọ̀
night,òdu
nine,ẹ̀lá
nineteen,ẹ̀gwélā
ninth,ẹ̀kẹ́lā
no,èhéee
nobody,ẹ́nẹ gbē
noise,ékwùkwù
noisy,ch’èkwùkwù
none,gbē
nonsense,ẹ̀nyí ẹ́chẹ̀
nonetheless,íchẹ́kà
noon,ọ̀lọ́j’ólù
nor,bé
normal,mú
normally,tẹ̀ t ẹ̀
north,ọ̀gẹ́bẹ́ẹ̀
nose,ímọ́
not,ṅ
note,kà
notes,àmákà
nothing,ẹ́ñwu dúú
noticed,lí
notion,íbē
November,Nọ̀vẹ́ḿbà
now,ábájọ́-í
nowadays,ábájọ́-í
nowhere,ìgbálígbā Ọjọ́
number,álu
numbered,gbálukà
numbers,àmalu
nurse,bù né
nursing,nẹ́
nuts,àmaolóbo
obedience,ígbẹ́íbe
object,ẹ́ñwu
objective,ọ̀fọ́
objectives,àmọ̣́fọ́
objects,àmẹ́ñwu
obligation,ìdúù
obligations,àmaidúù
obligatory,dúkpẹ́
obliged,ché
obscure,ọ̀wọ̀lì
observation,àwòlí
observe,gòó
observed,má
observer,ágígò
obviously,jálí
occasion,ikò
occasional,káà
occasionally,ìkò ókáà
occur,che
occurrence,ùgójù
occurring,ché
ocean,ìtèkwú
October,Ọ̀kọ̀ọ̀bà
odd,èche
of,lẹ́
off,lú
offence,ẹ́biẹ̄nẹ
offender,énẹ-ẹ́biẹ̄nẹ
offered,ché
offering,ẹ́ñwu
offerings,àmẹ́ñwu
office,ójúukọ́lọ́
offices,àmọ́júukọ́lọ́
offspring,ọ́ma
often,gbẹ́gbà
oh,káì
oil,ékpo
okay,gbẹ́
Okay,oo
old,ígbélé
older,gbó
on,ójí
once,gbégbé
one,ényẹ́
ones,áma
oneself,ónúgò
only,katé
onto,ójí
open,chí
opened,chí
openly,ọ̀gẹ̀gẹ̀dẹ̀
opening,àbù
operate,che
operation,úkọ́lọ́
opinion,íbē
opportunity,ìgbà
opportunities,àmagbà
opposed,kọ̀
opposite,ójóojì
opposition,ẹ́júbi
option,ọ̀fọ́
options,àmọ̣́fọ́
or,abẹ̀kù
order,ùkọ̀lọ̀
ordered,chí
orderly,kílíkímí
ordinary,òfòfo
organ,ẹ̀bì
organisation,ójúkọ́lọ́
organize,dó
organized,kílíkímí
organizing,chálò
organism,ìdènèkwù
organisms,àmidènèkwù
organs,àmẹ́bì
original,ẹ̀gwù
Orthodox,ẹ́yìbó
other,òmúnẹ́ẹ̀
others,àbómúnẹ̄ẹ̀
ought,dúkpẹ́
our,wa
ourselves,àwa onúgò
outcome,álùgbó
outcomes,àmalùgbó
outline,kàdò
outlook,ẹ̀dọ̀
output,ànyí
outside,ọ́dọ́da
outsider,ílòwáà
outstanding,lìlẹ̀
over,kpa
overall,chákáá
overcome,dú
overnight,ẹ̀bẹ̀cha
overview,ẹ́jú
owe,j’ọ́mẹ́ẹ̀
owing,j’ọ́mẹ́ẹ̀
owned,nẹ
owner,òdè
ownership,íbāálú
oxygen,àfù
pack,kó
packed,kámá
pain,álóko
pains,àmalóko
pair,méjì
pairs,àmẹ́jì
palace,Éfọ́fẹ̀
palm,ẹ́rẹ́
palms,àmẹ́rẹ́
pant,kpò
pants,íchàká
paper,òtákáda
papers,àmòtákáda
paragraph,ùkpé
paragraphs,ámùkpé̀
part,ẹ̀kó
partially,dágágàlà
participate,d'ùbí
participated,d'ùbí
particular,àdígō
parties,àmajọ́
partnership,ìkòchẹ́
parts,àmẹ́ñwu
party,àbó
pass,páchì
passed,gbó
passage,ọ̀ọ́nà
passengers,ìgwà
passion,ọ̀kái
past,échí
patterns,àmálí
pause,jẹ́kẹ́bí
pay,ra
payment,ọ́kọ́
peace,ọ̀la-nyọ́
Peace,ọ̀la-nyọ́
peasant,àlọ́kọ́
peculiar,àdúñà
pedigree,ùgbẹ̀
penalty,ínéẹ̀
people,àmọ́nẹ́
peoples,ábó
pepper,ákpọkọ
perceive,lí
percent,údẹ́
percentage,údẹ́
percentages,àmalùdẹ́
perception,ójì
perfect,pípí
perfectly,gbẹ́gẹ́dẹ́ẹ́
perfection,ìlèchẹ́
perform,che
performance,ànyí
performed,che
performing,áche
perhaps,kàní
period,ẹ̀gbà
periods,àmẹ̀gbà
permanent,pìóó
permanently,pìòógódòó
permission,ìgb’ọ́dá
permitted,dúkpẹ
permits,àdúkpẹ
person,ẹ́nẹ
personal,ẹ́ñwu
personality,énẹ
personally,nyẹ̀gbàjì
persons,àmonẹ̀
perspective,ojú
pertaining,tọ́
petty,égíní
phase,ikò
phases,àmàìkò
phenomenon,ìwúláà
philosopher,énẹùmààgàà
philosophy,ẹ̀kọ́-ùmà
phone,íló
photograph,ìfòtó
photographer,ádifòtó
photographs,àmìfòtó
phrase,ùkọ̀là
physical,àñọ́lá
physically,kpàkpálá
physician,énẹ́gwù
physics,ẹ́kọ́
pick,ñá
picked,gbá
picking,fíyẹ́
picture,ìfòtó
pictures,àmifòtó
piece,àkpánà
pieces,àmakpánà
pigs,ámokóò
pilot,gwà
pine,àgàká
pink,rọ́ókpóó
pioneer,ẹ́gbá
pipe,ùchá-àtábáà
pitch,ẹ̀gbá
pity,éjúmomi
Place,dù tè́
place,úgbo
placed,dó
places,ámúgbo
plaintiff,ẹ́nẹ́ àjọ
plainly,kàà
plan,álọ̀
plane,òkọ̀
planned,ténè
plant,olí
planted,gbẹ̀
planting,tígà
plantation,úchẹ́
plantations,àmáchẹ́
plants,àmolí
plate,òchíbú
plates,àmọ́chíbú
platform,ígbélí
play,íyáà
played,che
player,ájọ́lí
playing,chẹ́
plea,ọ́lógwù
pleading,j'ọ́gbọ́
please,kócho
pleasure,áyé
pledge,gbà
plenty,kpúù
plot,ọ̀lá
ploy,ìgòchèlèmá
plus,kpàí
p.m.,anẹ́
poet,ákówúlé
poetry,ẹ́kọ́ ọ́nyáà
point,ìgbà
Point,kálíí
points,àmagbà
pole,ọ̀kpáà
policy,úkọ̀lọ̀
political,ọ́jàà
politician,ẹ́nẹ́ọ́jàà
politics,ọ̀fọ́
pollution,ẹ́bú
pond,ájì
pool,ómi
pools,àmómi
poor,álẹ́
poorly,bíẹ́
popular,éjénẹ́ẹ̀
popularity,ójìdú
population,àbó
porcelain,ọ̀tára
portion,égbéẹ̀
portions,àmégbéẹ̀
pose,chē
posed,dúgbo
position,ùñà
positions,àmaùñà
possesses,nẹ
possessing,nẹ
possession,íbāálú
possessions,àmíbāálú
possibility,íkáni
possibly,íkáni
posture,ídó
pot,ùchà
potato,íkàchì
potential,gbéjú
potentially,gbégbé
pottery,áchúbà
pound,ẹ̀bílẹ́
pour,du
poured,chí
pouring,dó
poverty,àlé
powder,èmùnù
powdered,éfùlù
power,èyíkwù
powerful,líkànígìì
powerfully,gbágádáá
powers,àmaèyíkwù
pragmatic,àlìfía
practice,úkọ́lọ́
practices,àmákọ́lọ́
practitioner,énẹ̀-égbá
praised,dányú
